order,batchNumber,levelName,makerName,discordName,progress,difficultyName,gameStyle,mainTheme,subTheme,briefDescription,region,clearCondition,averageClearTime,description,makerDescription,makerId,difficulty,tags,nationality,levelCode
1,1,Twister Magnet Madness,Kiavik,,100%,Expert,SMB3,Sky,Sky,A platforming level using the twisters gimmick.,Italy,,,Let the magic sucking power of the twisters (also known as the blowey joeys) guide you through a course that is both easy going and action packed!,"As the leader of 4YMM, I hope everyone appreciates all the work that went into the project. I’ll do the honors by having, for the first time, the very first level in the project.
",4D5-TCL-WMG,6,"Themed,Autoscroll",IT,
2,1,Sawmill Thrill,Sypher,Sypher,100%,Expert,SMW,Forest,Airship,A forest / sawmill level inspired by Sawmill Thrill from DKC:TF. Airship theme features the inside of the sawmill. Including a boss fight at the end.,The Netherlands,,,"Smoke is rising up, the sounds of industry resonating through the trees. A treacherous sawmill has emerged in the heart of the Mushroom Forest - and now this once peaceful land is under attack! This level takes inspiration from the DKC series and is filled to the brim with secrets, dangerous machinery and edge-of-the-seat action sequences.","Sypher has been around ever since the earliest hours of Super Mario Maker for Wii U. His levels are known for their visually pleasing and distinctive style; he’s always striving for the best possible aesthetics. Because of that, it will probably take him 10 more years to complete his 80-level game. Besides making, Sypher finds his passion in music, flying and wellness… and hopes to fulfil his long-time dream of setting up his own spa & wellness centre one day.",6K5-BL2-HYF,5,"Traditional,Themed",NL,
3,1,The Sands of Time,CTRX,,100%,Expert,NSMBU,Desert,Desert Night,"Title:Sands of Time. Parallel Metroidvania level. Go back and forth between the burning day desert and the frozen night desert. At night, the route changes due to different enemies, constantly blowing winds and frozen coins.",Japan,,Long (average etc. > 4 minutes),"In the daytime desert, it's burning hot, and you'll have a feeling of awe for the sun. In the nighttime desert, the freezing wind blows constantly, but you'll be at a loss for words by the dazzling starry sky. Switch between day and night to leave your footprints on the sands of time!","CTRX is a Japanese maker who loves to create something unique. On Christmas 2015, his wife gave him a surprise gift. Yes, a Wii U with Mario Maker! Since then he has been addicted to this incredible game. But his addiction made his wife appalled, so this time he had to buy the Nintendo Switch himself! lol",8DV-NH6-Q9G,4,"Metroidvania,Puzzle",JP,
4,1,"So Close, Yet So Far",Buflen,,100%,Super Expert,SMB3,Castle,Castle,Bouncing on dry bones with enemies spawning and disapearing using on offs blocks.,USA,,Short (Average completion time < 1:30 minutes),"When Super Mario Maker 1 came out, Buflen’s favorite level design philosophy was non-linearity and reusing space as much as possible, sometimes to a fault. As he progressed as a maker, he started making much more linear levels with a single path. For this 4YMM, Buflen decided to merge those 2 styles into one level to get the best of both worlds. A frog suit is hidden in the level, finding it is essential for true ending.","Buflen makes challenging but fair levels, often described as a good introduction for newcomers to the world of kaizo. But all he really does is make levels he’d personally enjoy playing. Outside of mario maker, Buflen loves good micro-brewery beers and music, which often influence his level names.",MMF-HSW-TBG,7,Buflen,CA,
5,1,Direction Detection,Nabuz,nickabuz,100%,Expert,SMB3,Underground,Underground,"Series of puzzle rooms where on/off state is dependent on the direction mario faces (facing right = red, facing left = blue)",USA,,Medium (Average completion time between  1:30 and 4 minutes,"Get ready to face some unique challenges through ten rooms with machines that react to the player in an unprecedented way. If you manage to complete the boss without taking damage and find the secret, you can get a look at how to build this machine for yourself.
","Nabuz is a 21-year-old software engineer and college student in the US. From making unfair precision levels in Lunar Magic as a kid to making unintuitive one-screen puzzles in MM1, Nabuz got all his hot garbage out early so he could bring his A-game to MM2. His favorite kinds of levels to build are ones that use contraptions to change the rules of the game, like his recent level, Flipswitch Caverns, and the first level he’s debuting for 4YMM (that he’s been sitting on since November last year).",L7R-T93-TRG,6,"Themed,Puzzle",US,
6,1,"Pipeline Pumpworks
",Gilmore,Papa Laz,100%,Super Expert,3DW,Forest,Forest,Vertical (going up) & custom autoscroll 3dw level where the gimmick is that the water level goes up and down the whole time. Expert/super expert.,USA,,Short (Average completion time < 1:30 minutes),"Donkey Kong’s toilet broke again after a few too many ketchup banana sundaes. Luckily Mario is a homie and decides to check out the plumbing. However, he will need to take advantage of the dynamic waterworks to make it out in time for Mama Luigi’s famous spaghetti.
","21-year-old guy from the US who likes making cool platforming levels. Favorite games include Mario Sunshine, Yoshi’s Island and the DKC series.","J2W-01H-QMG
",6,"Themed,Autoscroll",US,
7,1,Permuting Perspectives,Zurfink,,100%,Normal,SMW,Ghost House,Ghost House,The level is focused on puzzles using custom auto-scroll.,Europe,,Medium (Average completion time between  1:30 and 4 minutes,"Permuting Perspectives is a SMW puzzle level. Using custom autoscroll, different parts of the level will be visible at different times. Can you find your way through and
solve the puzzles despite the changing perspectives?
",Zurfink is a Swedish student that always has been a fan of Nintendo. He started making levels in Super Mario Maker 2 and this is the first time he is part of the yearly celebration.,4N3-DGJ-QYF,6,"Puzzle,Autoscroll",SE,
8,1,Magikoopa’s Apprentice,Nira,Nira,100%,Expert,SMB1,Ghost House Night,Ghost House Night,"The level through the darkness, relying on Kamek's magic and Boo's trail. Classical Music [The Sorcerer's Apprentice]",Japan,,Medium (Average completion time between  1:30 and 4 minutes,"Hello everyone. Welcome to the 4YMM anniversary concert by Kamek's orchestra. Today’s program is ""The Sorcerer's Apprentice"" by Dukas. Conducted by Master Kamek, played by Boos and jumped by apprentice Mario. Don't worry if Mario has difficulty in seeing his feet during the music, Boos will guide him properly. Now that we're ready, the concert is open!","When SMM was released on the WiiU, I bought it with the console and was extremely addicted to it. My only complaint about SMM1 was the lack of athletic BGM, but I’m very happy with that addition for SMM2. Simple and tough action games loved.",QKY-G3W-4JF,4,"Themed, Musical",JP,
9,2,Uncaged,kurfix,,100%,Normal,SMB3,Forest Night,Forest Night,"Story level about rescue kidnapped baby. It include a cutscenes. Gameplay is built around overpassing boo's, which are moving on a conveyor with ""semi-automatic"" on/off. It's mostly platforming with a little puzzle.",Europe,,Short (Average completion time < 1:30 minutes),"What a wonderful day in the Dry Bones swamp. Everyone’s enjoying good weather, doing happy little things. There's only one sad Boo trapped in a cage, go and free him so everybody's happy.","Kurfix is from Poland. He's a big fan of 2D platforming games, especially SMB3 and Rayman Legends (over 1000 diamond cups). Besides games he loves watching F1 and MotoGp.",SJF-BYN-WVG,6,Themed,PL,
10,2,Tomb Train,Katz,,100%,Super Expert,SMW,Underground,,"Fast-paced, flashy platformer that keeps you running.",Europe,No,Short (Average completion time < 1:30 minutes),"Who thought it would be a good idea to build this railway line through a tomb? No wonder you’re the only passenger on this train.
Wait, are the brakes not working? It’s bad enough that there are sawblades everywhere in this tunnel, and now this!
","Katz is a cat from Germany that likes to play video games more than hunting birds. He is a variety creator, but tends to make fast and challenging platformers, while his favorite courses to play happen to be precision levels.",N49-Y01-HBG,6,Buflen,DE,
11,2,Link's Great Musical Palace,General BB,Geitje,100%,Normal,SMB1,Ghost House,Ghost House,Zelda 2 Dungeon with Music,The Netherlands,,Medium,"A Link level featuring a big explorable palace with baddies to kill and red coins to collect. The level is inspired by Zelda II - the adventure of Link from the NES. The level features custom music taken from the final palace of the game. The music loops globally, which makes for a unique style of music level.
","BB is a programmer from Amsterdam in the Netherlands. He hangs around in Psycrows research-lab discord where he posts Mario Maker 2 discoveries. His levels are very technical and he’s praised for his clock-work like track setups that blast looping music throughout the level. His favorite item in the game are note blocks. Global instruments are one of Geitje’s discoveries, which will be premiered in his 4YMM level.",WP8-TVK-Q0H,3,"Themed,Musical",NL,
12,2,Hot Lava Cake,MegaTefyt,,100%,Super Expert,3DW,Castle,Castle,Nine challenge rooms with rising lava as timer,Europe,,Medium (Average completion time between  1:30 and 4 minutes,Hot Lava Cake is a 3D World level with different challenge rooms. You have to reach the exit of each room before the rising lava gets you. Will you reach the cake or is it just a lie?,"MegaTefyt is a 38 years old software developer from Germany. He is married, father of two children and somehow still has time to build levels. He is known for the Get A Life! series, but loves to make platforming levels, which are not too hard. He builds levels for games for more than 25 years (e.g. Duke Nukem 3D, Half-Life)",6YM-S34-KXG,6,Buflen,DE,
13,2,Lemmy’s Lost His Marbles!,Mini Barf,,100%,Normal,SMB3,Ghost House,Ghost House,Pure madness based on Lemmy!,,,Medium (Average completion time between 1:30 and 4 minutes,"A puzzle course based around visual illusions where the player must help Lemmy vanquish his inner demons, or risk joining him on his slow descent into madness.","Mini Barf is a maker from Canada, a mostly uninhabitable tundra which legends say is located north of the United States.  Mini Barf only purchased a Switch in May 2020, but plans to very quickly lock down the untapped market of Quest 64 tribute courses.",VYJ-XXG-Q6G,4,"Themed,Puzzle",CA,
14,2,Bounce Galore,Space Pig,,100%,Super Expert,SMB3,Castle,Castle,Bounce level with max or min jumps only. Pretty similar to my other bounce levels but with some different setups. Still not finished,USA,,Short (Average completion time < 1:30 minutes),Bounce Galore is a fun kaizo lite bounce level that uses stacked thwomps along with buzzy beetles to create interesting fast paced setups that are visually appealing and will make everything magically line up!,"Space Pig has been around the Mario Maker scene for a while creating technical kaizo levels. His favorite kind of levels include lots of shells. He created Team Shell and streams on Twitch. Nobody thought it was possible, but it is said that he defeated jank in an epic battle that will go down in history.",0V7-DLS-BMF,6,Buflen,US,
15,2,Super Bumper Jumper,Mang,derjoghurthose,100%,Expert,SMB3,Sky,Sky,Momentum-Controlling gimmick,Europe,,Medium (Average completion time between  1:30 and 4 minutes,"You try to get close to Mr Bumper, but he rejects you and throws you away. You’re a sad Jumper now.",Mang is Mang,SV5-0FW-3MG,5,Traditional,DE,
16,2,Battling the Broodalings,Cardboard,CardboardBox,100%,Expert,NSMBU,Ground Night,Ground Night,Music level with Broodal and RoboBrood battle themes from SMO in main & sub worlds respectively. Gameplay is bullet-hell & boss fights.,,,,"Dodge spells, fire and enemies in two intense boss battles against Koopalings masquerading as the Broodals. Try to grab the bonus pink coins too if you’re looking for an extra challenge! Features custom music from Super Mario Odyssey.
","Cardboard is a Canadian musician turned programmer. While his first Mario game was SM64, he fell in love with SMB1 when he got an NES at a garage sale, largely replacing his N64 and PS2. He started playing SMM1 in 2018 and quickly started making music levels. He bought a switch as soon as SMM2 came out, and has continued to make music levels since.",D4H-K9T-KPG,5,Musical,US,
,,Toxic Bullet Blaster Road,Fabio,SMM_Fabio,100%,Super Expert,SMB1,Forest Night,Forest Night,Gimmicky platform level with bullet blasters.,Europe,no clear condition,Medium (Average completion time between  1:30 and 4 minutes,It is midnight. Mario enters a mysterious toxic lake with a magical road of bullet blasters. There are many dangers and obstacles lurking on his way. Will he get through this gimmicky platforming madness and defeat the Iggy Twins?,"18 year old Maker, born in Germany with Italian roots. I started playing video games (especially Nintendo Games) when I was 4 years old. I grew up with the GameCube. Regarding Mario Maker, I built many gimmicky levels. These days, I’m focusing more on traditional levels.",LMW-66S-0SG,5,"Themed, Gimmick",,
,,Different Space Dancing,Ichigotan,ichigotan,100%,Expert,NSMBU,Ground Night,Ground Night,Musical platformer (Remix of SMW),,,,Dance battle with an illusionist who operates a truck in a different space,I love RPG and always want to create RPG-like levels. I am good at incorporating music into action.,0V3-S5S-1XF,,"Musical, Autoscroll",,
,,,Exonym,,100%,Expert,SMB1,Ghost House,Ghost House,Utilizes smb2 shroom powerup to do some cool mini puzzles. Aiming for normal difficulty but some of the jumps will undoubtedly make the level expert just because.,,,,,,,,"Themed, Puzzle",,
,,,Birdhare,,100%,Expert,SMB3,Sky,Sky,An adventure level combining a more traditional level that rewards exploration with a moving platform section that keeps adding options to pass oncoming obsacles. Explore the castle in the sky and find the treasure within.,Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Traditional, Themed",,
,,,Paxsman,,100%,Expert,3DW,Underwater,Underwater,The level is a series of underwater challenges where pushing jump prevents the room from being finished.,USA,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Traditional, Themed",,
,,,Pinkston,DavidPinkston,100%,Expert,3DW,Desert,Desert,"A cat suit level designed with extended periods of the exhaustion state, so surfaces must be sought out to recharge the climbing ability",,,,,,,,Themed,,
