order,batchNumber,levelName,makerName,discordName,progress,levelStyle,difficulty,stars,gameStyle,mainTheme,subTheme,briefDescription,region,clearCondition,averageClearTime,description,makerDescription,makerId
1,1,Twister Magnet Madness,Kiavik,,100%,"Themed, Autoscroll",Expert,4,SMB3,Sky,Sky,A platforming level using the twisters gimmick.,Italy,,,Let the magic sucking power of the twisters (also known as the blowey joeys) guide you through a course that is both easy going and action packed!,"As the leader of 4ymm, I hope everyone appreciates all the work that went into the project. I’ll do the honors by having, for the first time, the very first level in the project.
",4D5-TCL-WMG
2,1,Sawmill Thrill,Sypher,Sypher,100%,"Traditional, Themed",Expert,4,SMW,Forest,Airship,A forest / sawmill level inspired by Sawmill Thrill from DKC:TF. Airship theme features the inside of the sawmill. Including a boss fight at the end.,The Netherlands,,,"Smoke is rising up, the sounds of industry resonating through the trees. A treacherous sawmill has emerged in the heart of the Mushroom Forest - and now this once peaceful land is under attack! This level takes inspiration from the DKC series and is filled to the brim with secrets, dangerous machinery and edge-of-the-seat action sequences.","Sypher has been around ever since the earliest hours of Super Mario Maker for Wii U. His levels are known for their visually pleasing and distinctive style; he’s always striving for the best possible aesthetics. Because of that, it will probably take him 10 more years to complete his 80-level game. Besides making, Sypher finds his passion in music, flying and wellness… and hopes to fulfil his long-time dream of setting up his own spa & wellness centre one day.",6K5-BL2-HYF
3,1,The Sands of Time,CTRX,,100%,"Metroidvania, Puzzle",Expert,4,NSMBU,Desert,Desert Night,"Title:Sands of Time. Parallel Metroidvania level. Go back and forth between the burning day desert and the frozen night desert. At night, the route changes due to different enemies, constantly blowing winds and frozen coins.",Japan,,Long (average etc. > 4 minutes),"In the daytime desert, it's burning hot, and you'll have a feeling of awe for the sun. In the nighttime desert, the freezing wind blows constantly, but you'll be at a loss for words by the dazzling starry sky. Switch between day and night to leave your footprints on the sands of time!","CTRX is a Japanese maker who loves to create something unique. On Christmas 2015, his wife gave him a surprise gift. Yes, a Wii U with Mario Maker! Since then he has been addicted to this incredible game. But his addiction made his wife appalled, so this time he had to buy the Nintendo Switch himself! lol",8DV-NH6-Q9G
4,1,"So Close, Yet So Far",Buflen,,100%,Buflen,Super Expert,5,SMB3,Castle,Castle,Bouncing on dry bones with enemies spawning and disapearing using on offs blocks.,USA,,Short (Average completion time < 1:30 minutes),"When Super Mario Maker 1 came out, Buflen’s favorite level design philosophy was non-linearity and reusing space as much as possible, sometimes to a fault. As he progressed as a maker, he started making much more linear levels with a single path. For this 4YMM, Buflen decided to merge those 2 styles into one level to get the best of both worlds. A frog suit is hidden in the level, finding it is essential for true ending.","Buflen makes challenging but fair levels, often described as a good introduction for newcomers to the world of kaizo. But all he really does is make levels he’d personally enjoy playing. Outside of mario maker, Buflen loves good micro-brewery beers and music, which often influence his level names.",???
5,1,Direction Detection,nabuz,nickabuz,100%,"Themed, Puzzle",Expert,4,SMB3,Underground,Underground,"Series of puzzle rooms where on/off state is dependent on the direction mario faces (facing right = red, facing left = blue)",USA,,Medium (Average completion time between  1:30 and 4 minutes,"Get ready to face some unique challenges through ten rooms with machines that react to the player in an unprecedented way. If you manage to complete the boss without taking damage and find the secret, you can get a look at how to build this machine for yourself.","Nabuz is a 21-year-old software engineer and college student in the US. From making unfair precision levels in Lunar Magic as a kid to making unintuitive one-screen puzzles in MM1, Nabuz got all his hot garbage out early so he could bring his A-game to MM2. His favorite kinds of levels to build are ones that use contraptions to change the rules of the game, like his recent level, Flipswitch Caverns, and the first level he’s debuting for 4YMM (that he’s been sitting on since November last year).",L7R-T93-TRG
6,1,"Pipeline Pumpworks
",Gilmore,Papa Laz,100%,"Themed, Autoscroll",Super Expert,5,3DW,Forest,Forest,Vertical (going up) & custom autoscroll 3dw level where the gimmick is that the water level goes up and down the whole time. Expert/super expert.,USA,,Short (Average completion time < 1:30 minutes),"Donkey Kong’s toilet broke again after a few too many ketchup banana sundaes. Luckily Mario is a homie and decides to check out the plumbing. However, he will need to take advantage of the dynamic waterworks to make it out in time for Mama Luigi’s famous spaghetti.
","21-year-old guy from the US who likes making cool platforming levels. Favorite games include Mario Sunshine, Yoshi’s Island and the DKC series.","J2W-01H-QMG
"
7,1,Permuting Perspectives,Zurfink,,100%,"Puzzle, Autoscroll",Normal,3,SMW,Ghost House,Ghost House,The level is focused on puzzles using custom auto-scroll.,Europe,,Medium (Average completion time between  1:30 and 4 minutes,"Permuting Perspectives is a SMW puzzle level. Using custom autoscroll, different parts of the level will be visible at different times. Can you find your way through and
solve the puzzles despite the changing perspectives?",Zurfink is a Swedish student that always has been a fan of Nintendo. He started making levels in Super Mario Maker 2 and this is the first time he is part of the yearly celebration.,4N3-DGJ-QYF
8,1,Magikoopa’s Apprentice,Nira / ニラ,Nira,100%,"Traditional, Themed, Musical, Autoscroll",Expert,4,SMB1,Ghost House Night,Ghost House Night,"The level through the darkness, relying on Kamek's magic and Boo's trail. Classical Music [The Sorcerer's Apprentice]",Japan,,Medium (Average completion time between  1:30 and 4 minutes,"Hello everyone. Welcome to the 4YMM anniversary concert by Kamek's orchestra. Today’s program is ""The Sorcerer's Apprentice"" by Dukas. Conducted by Master Kamek, played by Boos and jumped by apprentice Mario. Don't worry if Mario has difficulty in seeing his feet during the music, Boos will guide him properly. Now that we're ready, the concert is open!","When SMM was released on the WiiU, I bought it with the console and was extremely addicted to it. My only complaint about SMM1 was the lack of athletic BGM, but I’m very happy with that addition for SMM2. Simple and tough action games loved.",QKY-G3W-4JF
9,2,Uncaged,kurfix,,75%,Themed,Normal,3,SMB3,Forest Night,Forest Night,"Story level about rescue kidnapped baby. It include a cutscenes. Gameplay is built around overpassing boo's, which are moving on a conveyor with ""semi-automatic"" on/off. It's mostly platforming with a little puzzle.",Europe,,Short (Average completion time < 1:30 minutes),"What a wonderful day in the Dry Bones swamp. Everyone’s enjoying good weather, doing happy little things. There's only one sad Boo trapped in a cage, go and free him so everybody's happy.","Kurfix is from Poland. He's a big fan of 2D platforming games, especially SMB3 and Rayman Legends (over 1000 diamond cups). Besides games he loves watching F1 and MotoGp.",SJF-BYN-WVG
10,2,Tomb Train,Katz,,100%,Buflen,Super Expert,5,SMW,Underground,,"Fast-paced, flashy platformer that keeps you running.",Europe,No,Short (Average completion time < 1:30 minutes),"Who thought it would be a good idea to build this railway line through a tomb? No wonder you’re the only passenger on this train.
Wait, are the brakes not working? It’s bad enough that there are sawblades everywhere in this tunnel, and now this!
","Katz is a cat from Germany that likes to play video games more than hunting birds. He is a variety creator, but tends to make fast and challenging platformers, while his favorite courses to play happen to be precision levels.",N49-Y01-HBG
